논산IC	fnSelectNode('N251I010','논산IC','2');
다부IC	fnSelectNode('N055I060','다부IC','2');
단성IC	fnSelectNode('N351I070','단성IC','2');
단양IC	fnSelectNode('N055I150','단양IC','2');
달성IC	fnSelectNode('N451I020','달성IC','2');
담양IC	fnSelectNode('N012I020','담양IC','2');
당진IC	fnSelectNode('N015I250','당진IC','2');
대관령IC	fnSelectNode('N050I300','대관령IC','2');
대동TG	fnSelectNode('N055T020','대동TG','2');
대소IC	fnSelectNode('N352I060','대소IC','2');
대신IC	fnSelectNode('N052I030','대신IC','2');
대왕판교IC	fnSelectNode('N001I480','대왕판교IC','2');
대전IC	fnSelectNode('N001I270','대전IC','2');
대천IC	fnSelectNode('N015I190','대천IC','2');
대청IC	fnSelectNode('N105I020','대청IC','2');
덕소삼패IC	fnSelectNode('N060I005','덕소삼패IC','2');
덕유산IC	fnSelectNode('N351I140','덕유산IC','2');
덕평IC	fnSelectNode('N050I160','덕평IC','2');
도개IC	fnSelectNode('N301I010','도개IC','2');
도롱IC	fnSelectNode('N10AI080','도롱IC','2');
도화IC	fnSelectNode('N120I010','도화IC','2');
동경주IC	fnSelectNode('N652I030','동경주IC','2');
동고령IC	fnSelectNode('N012I140','동고령IC','2');
동고성IC	fnSelectNode('N351I020','동고성IC','2');
동곤지암IC	fnSelectNode('N052I010','동곤지암IC','2');
동광산TG	fnSelectNode('N12AT070','동광산TG','2');
동광양IC	fnSelectNode('N010I020','동광양IC','2');
동광주IC	fnSelectNode('N025I110','동광주IC','2');
동광주TG	fnSelectNode('N025T100','동광주TG','2');
동군산IC	fnSelectNode('N015I130','동군산IC','2');
동군위IC	fnSelectNode('N301I030','동군위IC','2');
동군포IC	fnSelectNode('N050I080','동군포IC','2');
동김천IC	fnSelectNode('N001I200','동김천IC','2');
동김해IC	fnSelectNode('N010I260','동김해IC','2');
동남원IC	fnSelectNode('N012I060','동남원IC','2');
동대구IC	fnSelectNode('N55AI080','동대구IC','2');
동둔내하이패스IC	fnSelectNode('N050I255','동둔내하이패스IC','2');
동림IC	fnSelectNode('N025I135','동림IC','2');
동마산IC	fnSelectNode('N102I030','동마산IC','2');
동부산IC	fnSelectNode('N650I001','동부산IC','2');
동산TG	fnSelectNode('N060T065','동산TG','2');
동상주IC	fnSelectNode('N30AI070','동상주IC','2');
동서울TG	fnSelectNode('N352T140','동서울TG','2');
동서천IC	fnSelectNode('N151I000','동서천IC','2');
동수원IC	fnSelectNode('N050I110','동수원IC','2');
동순천IC	fnSelectNode('N027I000','동순천IC','2');
동안동IC	fnSelectNode('N30AI100','동안동IC','2');
동안산(당수)IC	fnSelectNode('N017I100','동안산(당수)IC','2');
동양평IC	fnSelectNode('N052I050','동양평IC','2');
동여주IC	fnSelectNode('N052I040','동여주IC','2');
동영천IC	fnSelectNode('N301I050','동영천IC','2');
동전주IC	fnSelectNode('N027I100','동전주IC','2');
동창원IC	fnSelectNode('N010I220','동창원IC','2');
동청송영양IC	fnSelectNode('N30AI120','동청송영양IC','2');
동충주IC	fnSelectNode('N040I130','동충주IC','2');
동판교IC	fnSelectNode('N11AI140','동판교IC','2');
동함평IC	fnSelectNode('N12AI030','동함평IC','2');
동해IC	fnSelectNode('N065I000','동해IC','2');
동홍천IC	fnSelectNode('N060I080','동홍천IC','2');
둔내IC	fnSelectNode('N050I250','둔내IC','2');
마곡사IC	fnSelectNode('N030I060','마곡사IC','2');
마산TG	fnSelectNode('N102T040','마산TG','2');
마성IC	fnSelectNode('N050I130','마성IC','2');
망상IC	fnSelectNode('N065I010','망상IC','2');
매송IC	fnSelectNode('N015I310','매송IC','2');
면온IC	fnSelectNode('N050I260','면온IC','2');
면천IC	fnSelectNode('N030I010','면천IC','2');
목감IC	fnSelectNode('N015I350','목감IC','2');
목천IC	fnSelectNode('N001I340','목천IC','2');
목포IC	fnSelectNode('N015I000','목포IC','2');
목포TG	fnSelectNode('N015T020','목포TG','2');
무안IC	fnSelectNode('N015I030','무안IC','2');
무안공항IC	fnSelectNode('N12AI000','무안공항IC','2');
무주IC	fnSelectNode('N351I150','무주IC','2');
무창포IC	fnSelectNode('N015I180','무창포IC','2');
문경새재IC	fnSelectNode('N045I180','문경새재IC','2');
문막IC	fnSelectNode('N050I210','문막IC','2');
문산IC	fnSelectNode('N010I120','문산IC','2');
문수IC	fnSelectNode('N650I050','문수IC','2');
문의IC	fnSelectNode('N30AI010','문의IC','2');
문평IC	fnSelectNode('N12AI040','문평IC','2');
문학IC	fnSelectNode('N110I030','문학IC','2');
물금IC	fnSelectNode('N551I010','물금IC','2');
미사IC	fnSelectNode('N060I000','미사IC','2');
밀양IC	fnSelectNode('N55AI050','밀양IC','2');
